   M   |   S   |   Method   |      α   
---------------------------------------
   4   |   3    |     FC     |  = 1/3     | runtime:  0.01
   35   |   6    |     FC     |  = 31/66     | runtime:  0.00

   37   |   6    |     FC     |  = 37/78     | runtime:  0.00

   41   |   6    |     FC     |  = 37/78     | runtime:  0.00

   43   |   6    |     FC     |  = 43/90     | runtime:  0.00

   47   |   6    |     FC     |  = 43/90     | runtime:  0.00

   49   |   6    |     FC     |  = 49/102     | runtime:  0.00

   53   |   6    |     FC     |  = 49/102     | runtime:  0.00

   55   |   6    |     FC     |  = 55/114     | runtime:  0.00

   59   |   6    |     FC     |  = 55/114     | runtime:  0.00

   61   |   6    |     FC     |  = 61/126     | runtime:  0.00

   65   |   6    |     FC     |  = 61/126     | runtime:  0.00

   67   |   6    |     FC     |  = 67/138     | runtime:  0.00

   71   |   6    |     FC     |  = 67/138     | runtime:  0.00

   73   |   6    |     FC     |  = 73/150     | runtime:  0.00

   77   |   6    |     FC     |  = 73/150     | runtime:  0.00

   79   |   6    |     FC     |  = 79/162     | runtime:  0.00

   83   |   6    |     FC     |  = 79/162     | runtime:  0.00

   85   |   6    |     FC     |  = 85/174     | runtime:  0.00

   89   |   6    |     FC     |  = 85/174     | runtime:  0.00

   91   |   6    |     FC     |  = 91/186     | runtime:  0.00

   95   |   6    |     FC     |  = 91/186     | runtime:  0.00

   97   |   6    |     FC     |  = 97/198     | runtime:  0.00

   101   |   6    |     FC     |  = 97/198     | runtime:  0.00

   103   |   6    |     FC     |  = 103/210     | runtime:  0.00

   107   |   6    |     FC     |  = 103/210     | runtime:  0.00

   109   |   6    |     FC     |  = 109/222     | runtime:  0.00

   8   |   7    |    INT     |  = 5/14     | runtime:  0.00

   9   |   7    |     FC     |  = 5/14     | runtime:  0.00

   10   |   7    |     FC     |  = 1/3     | runtime:  0.00

   11   |   7    |     FC     |  = 11/28     | runtime:  0.00

   12   |   7    |     FC     |  = 3/7     | runtime:  0.00

   13   |   7    |     FC     |  = 8/21     | runtime:  0.00

   15   |   7    |     FC     |  = 3/7     | runtime:  0.00

   16   |   7    |     FC     |  = 3/7     | runtime:  0.00

   17   |   7    |     FC     |  = 11/28     | runtime:  0.00

   18   |   7    |     FC     |  = 3/7     | runtime:  0.00

   19   |   7    |    INT     |  = 25/56     | runtime:  0.00

   20   |   7    |     FC     |  = 3/7     | runtime:  0.00

   22   |   7    |     FC     |  = 22/49     | runtime:  0.00

   23   |   7    |     FC     |  = 19/42     | runtime:  0.00

   24   |   7    |     FC     |  = 3/7     | runtime:  0.00

   25   |   7    |     FC     |  = 25/56     | runtime:  0.00

   26   |   7    |     FC     |  = 13/28     | runtime:  0.00

   27   |   7    |     FC     |  = 22/49     | runtime:  0.00

   29   |   7    |     FC     |  = 29/63     | runtime:  0.00

   30   |   7    |     FC     |  = 13/28     | runtime:  0.00

   31   |   7    |     FC     |  = 25/56     | runtime:  0.00

   32   |   7    |     FC     |  = 16/35     | runtime:  0.00

   33   |   7    |     FC     |  = 33/70     | runtime:  0.00

   34   |   7    |     FC     |  = 29/63     | runtime:  0.00

   36   |   7    |     FC     |  = 36/77     | runtime:  0.00

   37   |   7    |     FC     |  = 33/70     | runtime:  0.00

   38   |   7    |     FC     |  = 16/35     | runtime:  0.00

   39   |   7    |     FC     |  = 13/28     | runtime:  0.00

   40   |   7    |     FC     |  = 10/21     | runtime:  0.00

   41   |   7    |     FC     |  = 36/77     | runtime:  0.00

   43   |   7    |     FC     |  = 43/91     | runtime:  0.00

   44   |   7    |     FC     |  = 10/21     | runtime:  0.00

   45   |   7    |     FC     |  = 13/28     | runtime:  0.00

   46   |   7    |     FC     |  = 23/49     | runtime:  0.00

   47   |   7    |     FC     |  = 47/98     | runtime:  0.00

   48   |   7    |     FC     |  = 43/91     | runtime:  0.00

   50   |   7    |     FC     |  = 10/21     | runtime:  0.00

   51   |   7    |     FC     |  = 47/98     | runtime:  0.00

   52   |   7    |     FC     |  = 23/49     | runtime:  0.00

   53   |   7    |     FC     |  = 53/112     | runtime:  0.00

   54   |   7    |     FC     |  = 27/56     | runtime:  0.00

   55   |   7    |     FC     |  = 10/21     | runtime:  0.00

   57   |   7    |     FC     |  = 57/119     | runtime:  0.00

   58   |   7    |     FC     |  = 27/56     | runtime:  0.00

   59   |   7    |     FC     |  = 53/112     | runtime:  0.00

   60   |   7    |     FC     |  = 10/21     | runtime:  0.00

   61   |   7    |     FC     |  = 61/126     | runtime:  0.00

   62   |   7    |     FC     |  = 57/119     | runtime:  0.00

   64   |   7    |     FC     |  = 64/133     | runtime:  0.00

   65   |   7    |     FC     |  = 61/126     | runtime:  0.00

   66   |   7    |     FC     |  = 10/21     | runtime:  0.00

   67   |   7    |     FC     |  = 67/140     | runtime:  0.00

   68   |   7    |     FC     |  = 17/35     | runtime:  0.00

   69   |   7    |     FC     |  = 64/133     | runtime:  0.00

   71   |   7    |     FC     |  = 71/147     | runtime:  0.00

   72   |   7    |     FC     |  = 17/35     | runtime:  0.00

   73   |   7    |     FC     |  = 67/140     | runtime:  0.00

   74   |   7    |     FC     |  = 37/77     | runtime:  0.00

   75   |   7    |     FC     |  = 75/154     | runtime:  0.00

   76   |   7    |     FC     |  = 71/147     | runtime:  0.00

   78   |   7    |     FC     |  = 78/161     | runtime:  0.00

   79   |   7    |     FC     |  = 75/154     | runtime:  0.00

   80   |   7    |     FC     |  = 37/77     | runtime:  0.00

   81   |   7    |     FC     |  = 27/56     | runtime:  0.00

   82   |   7    |     FC     |  = 41/84     | runtime:  0.00

   83   |   7    |     FC     |  = 78/161     | runtime:  0.00

   85   |   7    |     FC     |  = 17/35     | runtime:  0.00

   86   |   7    |     FC     |  = 41/84     | runtime:  0.00

   87   |   7    |     FC     |  = 27/56     | runtime:  0.00

   88   |   7    |     FC     |  = 44/91     | runtime:  0.00

   89   |   7    |     FC     |  = 89/182     | runtime:  0.00

   90   |   7    |     FC     |  = 17/35     | runtime:  0.00

   92   |   7    |     FC     |  = 92/189     | runtime:  0.00

   93   |   7    |     FC     |  = 89/182     | runtime:  0.00

   94   |   7    |     FC     |  = 44/91     | runtime:  0.00

   95   |   7    |     FC     |  = 95/196     | runtime:  0.00

   96   |   7    |     FC     |  = 24/49     | runtime:  0.00

   97   |   7    |     FC     |  = 92/189     | runtime:  0.00

   99   |   7    |     FC     |  = 99/203     | runtime:  0.00

   100   |   7    |     FC     |  = 24/49     | runtime:  0.00

   101   |   7    |     FC     |  = 95/196     | runtime:  0.00

   102   |   7    |     FC     |  = 17/35     | runtime:  0.00

   103   |   7    |     FC     |  = 103/210     | runtime:  0.00

   104   |   7    |     FC     |  = 99/203     | runtime:  0.00

   106   |   7    |     FC     |  = 106/217     | runtime:  0.00

   107   |   7    |     FC     |  = 103/210     | runtime:  0.00

   108   |   7    |     FC     |  = 17/35     | runtime:  0.00

   109   |   7    |     FC     |  = 109/224     | runtime:  0.00

   110   |   7    |     FC     |  = 55/112     | runtime:  0.00

   9   |   8    |     FC     |  = 3/8     | runtime:  0.00

   11   |   8    |     FC     |  = 1/3     | runtime:  0.00

   13   |   8    |     FC     |  = 13/32     | runtime:  0.00

   15   |   8    |     FC     |  = 3/8     | runtime:  0.00

   17   |   8    |     FC     |  = 17/40     | runtime:  0.00

   19   |   8    |     FC     |  = 13/32     | runtime:  0.00

   21   |   8    |     FC     |  = 7/16     | runtime:  0.00

   23   |   8    |     FC     |  = 17/40     | runtime:  0.00

   25   |   8    |     FC     |  = 25/56     | runtime:  0.00

   27   |   8    |     FC     |  = 7/16     | runtime:  0.00

   29   |   8    |     FC     |  = 29/64     | runtime:  0.00

   31   |   8    |     FC     |  = 25/56     | runtime:  0.00

   33   |   8    |     FC     |  = 11/24     | runtime:  0.00

   35   |   8    |     FC     |  = 29/64     | runtime:  0.00

   37   |   8    |     FC     |  = 37/80     | runtime:  0.00

   39   |   8    |     FC     |  = 11/24     | runtime:  0.00

   41   |   8    |     FC     |  = 41/88     | runtime:  0.00

   43   |   8    |     FC     |  = 37/80     | runtime:  0.00

   45   |   8    |     FC     |  = 15/32     | runtime:  0.00

   47   |   8    |     FC     |  = 41/88     | runtime:  0.00

   49   |   8    |     FC     |  = 49/104     | runtime:  0.00

   51   |   8    |     FC     |  = 15/32     | runtime:  0.00

   53   |   8    |     FC     |  = 53/112     | runtime:  0.00

   55   |   8    |     FC     |  = 49/104     | runtime:  0.00

   57   |   8    |     FC     |  = 19/40     | runtime:  0.00

   59   |   8    |     FC     |  = 53/112     | runtime:  0.00

   61   |   8    |     FC     |  = 61/128     | runtime:  0.00

   63   |   8    |     FC     |  = 19/40     | runtime:  0.00

   65   |   8    |     FC     |  = 65/136     | runtime:  0.00

   67   |   8    |     FC     |  = 61/128     | runtime:  0.00

   69   |   8    |     FC     |  = 23/48     | runtime:  0.00

   71   |   8    |     FC     |  = 65/136     | runtime:  0.00

   73   |   8    |     FC     |  = 73/152     | runtime:  0.00

   75   |   8    |     FC     |  = 23/48     | runtime:  0.00

   77   |   8    |     FC     |  = 77/160     | runtime:  0.00

   79   |   8    |     FC     |  = 73/152     | runtime:  0.00

   81   |   8    |     FC     |  = 27/56     | runtime:  0.00

   83   |   8    |     FC     |  = 77/160     | runtime:  0.00

   85   |   8    |     FC     |  = 85/176     | runtime:  0.00

   87   |   8    |     FC     |  = 27/56     | runtime:  0.00

   89   |   8    |     FC     |  = 89/184     | runtime:  0.00

   91   |   8    |     FC     |  = 85/176     | runtime:  0.00

   93   |   8    |     FC     |  = 31/64     | runtime:  0.00

   95   |   8    |     FC     |  = 89/184     | runtime:  0.00

   97   |   8    |     FC     |  = 97/200     | runtime:  0.00

   99   |   8    |     FC     |  = 31/64     | runtime:  0.00

   101   |   8    |     FC     |  = 101/208     | runtime:  0.00

   103   |   8    |     FC     |  = 97/200     | runtime:  0.00

   105   |   8    |     FC     |  = 35/72     | runtime:  0.00

   107   |   8    |     FC     |  = 101/208     | runtime:  0.00

   109   |   8    |     FC     |  = 109/224     | runtime:  0.00

   10   |   9    |    INT     |  = 1/3     | runtime:  0.00

   11   |   9    |    INT     |  = 13/36     | runtime:  0.00

   13   |   9    |     FC     |  = 1/3     | runtime:  0.00

   14   |   9    |     FC     |  = 7/18     | runtime:  0.00

   16   |   9    |     FC     |  = 11/27     | runtime:  0.00

   17   |   9    |     FC     |  = 10/27     | runtime:  0.00

   19   |   9    |     FC     |  = 19/45     | runtime:  0.00

   20   |   9    |     FC     |  = 4/9     | runtime:  0.00

   22   |   9    |     FC     |  = 7/18     | runtime:  0.00

   23   |   9    |     FC     |  = 23/54     | runtime:  0.00

   25   |   9    |     FC     |  = 4/9     | runtime:  0.00

   26   |   9    |     FC     |  = 19/45     | runtime:  0.00

   28   |   9    |     FC     |  = 4/9     | runtime:  0.00

   29   |   9    |    INT     |  = 41/90     | runtime:  0.00

   31   |   9    |     FC     |  = 23/54     | runtime:  0.00

   32   |   9    |     FC     |  = 4/9     | runtime:  0.00

   34   |   9    |     FC     |  = 29/63     | runtime:  0.00

   35   |   9    |     FC     |  = 4/9     | runtime:  0.00

   37   |   9    |     FC     |  = 37/81     | runtime:  0.00

   38   |   9    |    INT     |  = 59/126     | runtime:  0.00

   40   |   9    |     FC     |  = 4/9     | runtime:  0.00

   41   |   9    |     FC     |  = 41/90     | runtime:  0.00

   43   |   9    |     FC     |  = 38/81     | runtime:  0.00

   44   |   9    |     FC     |  = 37/81     | runtime:  0.00

   46   |   9    |     FC     |  = 46/99     | runtime:  0.00

   47   |   9    |    INT     |  = 37/78     | runtime:  0.00

   49   |   9    |     FC     |  = 41/90     | runtime:  0.00

   50   |   9    |     FC     |  = 25/54     | runtime:  0.00

   52   |   9    |     FC     |  = 47/99     | runtime:  0.00

   53   |   9    |     FC     |  = 46/99     | runtime:  0.00

   55   |   9    |     FC     |  = 55/117     | runtime:  0.00

   56   |   9    |     FC     |  = 56/117     | runtime:  0.00

   58   |   9    |     FC     |  = 25/54     | runtime:  0.00

   59   |   9    |     FC     |  = 59/126     | runtime:  0.00

   61   |   9    |     FC     |  = 56/117     | runtime:  0.00

   62   |   9    |     FC     |  = 55/117     | runtime:  0.00

   64   |   9    |     FC     |  = 64/135     | runtime:  0.00

   65   |   9    |     FC     |  = 13/27     | runtime:  0.00

   67   |   9    |     FC     |  = 59/126     | runtime:  0.00

   68   |   9    |     FC     |  = 17/36     | runtime:  0.00

   70   |   9    |     FC     |  = 13/27     | runtime:  0.00

   71   |   9    |     FC     |  = 64/135     | runtime:  0.00

   73   |   9    |     FC     |  = 73/153     | runtime:  0.00

   74   |   9    |     FC     |  = 74/153     | runtime:  0.00

   76   |   9    |     FC     |  = 17/36     | runtime:  0.00

   77   |   9    |     FC     |  = 77/162     | runtime:  0.00

   79   |   9    |     FC     |  = 74/153     | runtime:  0.00

   80   |   9    |     FC     |  = 73/153     | runtime:  0.00

   82   |   9    |     FC     |  = 82/171     | runtime:  0.00

   83   |   9    |     FC     |  = 83/171     | runtime:  0.00

   85   |   9    |     FC     |  = 77/162     | runtime:  0.00

   86   |   9    |     FC     |  = 43/90     | runtime:  0.00

   88   |   9    |     FC     |  = 83/171     | runtime:  0.00

   89   |   9    |     FC     |  = 82/171     | runtime:  0.00

   91   |   9    |     FC     |  = 13/27     | runtime:  0.00

   92   |   9    |     FC     |  = 92/189     | runtime:  0.00

   94   |   9    |     FC     |  = 43/90     | runtime:  0.00

   95   |   9    |     FC     |  = 95/198     | runtime:  0.00

   97   |   9    |     FC     |  = 92/189     | runtime:  0.00

   98   |   9    |     FC     |  = 13/27     | runtime:  0.00

   100   |   9    |     FC     |  = 100/207     | runtime:  0.00

   101   |   9    |     FC     |  = 101/207     | runtime:  0.00

   103   |   9    |     FC     |  = 95/198     | runtime:  0.00

   104   |   9    |     FC     |  = 13/27     | runtime:  0.00

   106   |   9    |     FC     |  = 101/207     | runtime:  0.00

