   M   |   S   |   Method   |      α   
---------------------------------------
   4   |   3    |     FC     |  = 1/3     | runtime:  0.00
   35   |   8    |     FC     |  = 29/64     | runtime:  0.00

   37   |   8    |     FC     |  = 37/80     | runtime:  0.00

   39   |   8    |     FC     |  = 11/24     | runtime:  0.00

   41   |   8    |     FC     |  = 41/88     | runtime:  0.00

   43   |   8    |     FC     |  = 37/80     | runtime:  0.00

   45   |   8    |     FC     |  = 15/32     | runtime:  0.00

   47   |   8    |     FC     |  = 41/88     | runtime:  0.00

   49   |   8    |     FC     |  = 49/104     | runtime:  0.00

   51   |   8    |     FC     |  = 15/32     | runtime:  0.00

   53   |   8    |     FC     |  = 53/112     | runtime:  0.00

   55   |   8    |     FC     |  = 49/104     | runtime:  0.00

   57   |   8    |     FC     |  = 19/40     | runtime:  0.00

   59   |   8    |     FC     |  = 53/112     | runtime:  0.00

   61   |   8    |     FC     |  = 61/128     | runtime:  0.00

   63   |   8    |     FC     |  = 19/40     | runtime:  0.00

   65   |   8    |     FC     |  = 65/136     | runtime:  0.00

   67   |   8    |     FC     |  = 61/128     | runtime:  0.00

   69   |   8    |     FC     |  = 23/48     | runtime:  0.00

   10   |   9    |    INT     |  = 1/3     | runtime:  0.00

   11   |   9    |    INT     |  = 13/36     | runtime:  0.00

   13   |   9    |     FC     |  = 1/3     | runtime:  0.00

   14   |   9    |     FC     |  = 7/18     | runtime:  0.00

   16   |   9    |     FC     |  = 11/27     | runtime:  0.00

   17   |   9    |     FC     |  = 10/27     | runtime:  0.00

   19   |   9    |     FC     |  = 19/45     | runtime:  0.00

   20   |   9    |     FC     |  = 4/9     | runtime:  0.00

   22   |   9    |     FC     |  = 7/18     | runtime:  0.00

   23   |   9    |     FC     |  = 23/54     | runtime:  0.00

   25   |   9    |     FC     |  = 4/9     | runtime:  0.00

   26   |   9    |     FC     |  = 19/45     | runtime:  0.00

   28   |   9    |     FC     |  = 4/9     | runtime:  0.00

   29   |   9    |    INT     |  = 41/90     | runtime:  0.00

   31   |   9    |     FC     |  = 23/54     | runtime:  0.00

   32   |   9    |     FC     |  = 4/9     | runtime:  0.00

   34   |   9    |     FC     |  = 29/63     | runtime:  0.00

   35   |   9    |     FC     |  = 4/9     | runtime:  0.00

   37   |   9    |     FC     |  = 37/81     | runtime:  0.00

   38   |   9    |    INT     |  = 59/126     | runtime:  0.00

   40   |   9    |     FC     |  = 4/9     | runtime:  0.00

   41   |   9    |     FC     |  = 41/90     | runtime:  0.00

   43   |   9    |     FC     |  = 38/81     | runtime:  0.00

   44   |   9    |     FC     |  = 37/81     | runtime:  0.00

   46   |   9    |     FC     |  = 46/99     | runtime:  0.00

   47   |   9    |    INT     |  = 37/78     | runtime:  0.00

   49   |   9    |     FC     |  = 41/90     | runtime:  0.00

   50   |   9    |     FC     |  = 25/54     | runtime:  0.00

   52   |   9    |     FC     |  = 47/99     | runtime:  0.00

   53   |   9    |     FC     |  = 46/99     | runtime:  0.00

   55   |   9    |     FC     |  = 55/117     | runtime:  0.00

   56   |   9    |     FC     |  = 56/117     | runtime:  0.00

   58   |   9    |     FC     |  = 25/54     | runtime:  0.00

   59   |   9    |     FC     |  = 59/126     | runtime:  0.00

   61   |   9    |     FC     |  = 56/117     | runtime:  0.00

   62   |   9    |     FC     |  = 55/117     | runtime:  0.00

   64   |   9    |     FC     |  = 64/135     | runtime:  0.00

   65   |   9    |     FC     |  = 13/27     | runtime:  0.00

   67   |   9    |     FC     |  = 59/126     | runtime:  0.00

   68   |   9    |     FC     |  = 17/36     | runtime:  0.00

   70   |   9    |     FC     |  = 13/27     | runtime:  0.00

   11   |   10    |    INT         EBM         HBM         MID     |  = 7/20     | runtime:  0.66

   13   |   10    |     FC         INT         EBM         MID         GAP     |  = 7/20     | runtime:  2.02

   17   |   10    |    INT        HALF        MID     |  = 2/5     | runtime:  0.01

   19   |   10    |     FC     |  = 11/30     | runtime:  0.01

   21   |   10    |     FC     |  = 21/50     | runtime:  0.02

   23   |   10    |     FC     |  = 17/40     | runtime:  0.01

   27   |   10    |     FC         INT        HALF        MID     |  = 9/20     | runtime:  0.02

   29   |   10    |     FC     |  = 21/50     | runtime:  0.02

   31   |   10    |     FC     |  = 31/70     | runtime:  0.03

   33   |   10    |     FC     |  = 9/20     | runtime:  0.02

   37   |   10    |     FC         INT         MID     |  = 37/80     | runtime:  0.02

   39   |   10    |     FC     |  = 31/70     | runtime:  0.04

   41   |   10    |     FC     |  = 41/90     | runtime:  0.03

   43   |   10    |     FC     |  = 37/80     | runtime:  0.03

   47   |   10    |     FC     |  = 47/100     | runtime:  0.02

   49   |   10    |     FC     |  = 41/90     | runtime:  0.08

   51   |   10    |     FC     |  = 51/110     | runtime:  0.06

   53   |   10    |     FC     |  = 47/100     | runtime:  0.04

   57   |   10    |     FC     |  = 19/40     | runtime:  0.02

   59   |   10    |     FC     |  = 51/110     | runtime:  0.16

   61   |   10    |     FC     |  = 61/130     | runtime:  0.11

   63   |   10    |     FC     |  = 19/40     | runtime:  0.03

   67   |   10    |     FC     |  = 67/140     | runtime:  0.04

   69   |   10    |     FC     |  = 61/130     | runtime:  0.37

   12   |   11    |     FC         INT         MID     |  = 4/11     | runtime:  0.01

   13   |   11    |    INT        HALF        EBM     |  = 1/3     | runtime:  0.01

   14   |   11    |     FC         INT         EBM         HBM         MID         GAP     |  = 4/11     | runtime:  0.02

   15   |   11    |     FC         EBM     |  = 1/3     | runtime:  0.01

   16   |   11    |     FC         EBM     |  = 1/3     | runtime:  0.01

   17   |   11    |     FC     |  = 17/44     | runtime:  0.02

   18   |   11    |     FC         INT         MID     |  = 9/22     | runtime:  0.02

   19   |   11    |    INT        HALF        MID     |  = 9/22     | runtime:  0.03

   20   |   11    |     FC     |  = 13/33     | runtime:  0.02

   21   |   11    |     FC     |  = 4/11     | runtime:  0.02

   23   |   11    |     FC     |  = 23/55     | runtime:  0.02

   24   |   11    |    INT         MID     |  = 19/44     | runtime:  0.02

   25   |   11    |     FC         INT         MID     |  = 19/44     | runtime:  0.02

   26   |   11    |     FC     |  = 9/22     | runtime:  0.02

   27   |   11    |     FC     |  = 17/44     | runtime:  0.02

   28   |   11    |     FC     |  = 14/33     | runtime:  0.03

   29   |   11    |     FC     |  = 29/66     | runtime:  0.02

   30   |   11    |     FC         MID     |  = 5/11     | runtime:  0.02

   31   |   11    |     FC     |  = 24/55     | runtime:  0.02

   32   |   11    |     FC     |  = 23/55     | runtime:  0.02

   34   |   11    |     FC     |  = 34/77     | runtime:  0.02

   35   |   11    |     FC     |  = 5/11     | runtime:  0.01

   36   |   11    |     FC     |  = 5/11     | runtime:  0.02

   37   |   11    |     FC     |  = 29/66     | runtime:  0.03

   38   |   11    |     FC     |  = 14/33     | runtime:  0.02

   39   |   11    |     FC     |  = 39/88     | runtime:  0.05

   40   |   11    |     FC     |  = 5/11     | runtime:  0.02

   41   |   11    |    INT        HALF        MID     |  = 61/132     | runtime:  0.03

   42   |   11    |     FC     |  = 5/11     | runtime:  0.02

   43   |   11    |     FC     |  = 34/77     | runtime:  0.06

   45   |   11    |     FC     |  = 5/11     | runtime:  0.02

   46   |   11    |     FC     |  = 46/99     | runtime:  0.02

   47   |   11    |     FC     |  = 41/88     | runtime:  0.02

   48   |   11    |     FC     |  = 5/11     | runtime:  0.02

   49   |   11    |     FC     |  = 39/88     | runtime:  0.12

   50   |   11    |     FC     |  = 5/11     | runtime:  0.02

   51   |   11    |     FC     |  = 51/110     | runtime:  0.04

   52   |   11    |    INT        HALF        MID     |  = 83/176     | runtime:  0.12

   53   |   11    |     FC     |  = 46/99     | runtime:  0.03

   54   |   11    |     FC     |  = 5/11     | runtime:  0.03

   56   |   11    |     FC     |  = 56/121     | runtime:  0.10

   57   |   11    |     FC     |  = 57/121     | runtime:  0.04

   58   |   11    |     FC     |  = 26/55     | runtime:  0.03

   59   |   11    |     FC     |  = 51/110     | runtime:  0.08

   60   |   11    |     FC     |  = 5/11     | runtime:  0.03

   61   |   11    |     FC     |  = 61/132     | runtime:  0.52

   62   |   11    |     FC     |  = 31/66     | runtime:  0.03

   63   |   11    |     FC         INT        HALF        MID     |  = 21/44     | runtime:  0.02

   64   |   11    |     FC     |  = 57/121     | runtime:  0.07

   65   |   11    |     FC     |  = 56/121     | runtime:  0.35

   67   |   11    |     FC     |  = 67/143     | runtime:  0.34

   68   |   11    |     FC     |  = 68/143     | runtime:  0.06

   69   |   11    |     FC     |  = 21/44     | runtime:  0.02

   70   |   11    |     FC     |  = 31/66     | runtime:  0.04

   13   |   12    |    EBM     |  = 1/3     | runtime:  0.01

   17   |   12    |     FC         EBM     |  = 1/3     | runtime:  0.01

   19   |   12    |     FC     |  = 19/48     | runtime:  0.01

   23   |   12    |     FC     |  = 13/36     | runtime:  0.02

   25   |   12    |     FC     |  = 5/12     | runtime:  0.01

   29   |   12    |     FC     |  = 19/48     | runtime:  0.02

   31   |   12    |     FC     |  = 31/72     | runtime:  0.02

   35   |   12    |     FC     |  = 5/12     | runtime:  0.02

   37   |   12    |     FC     |  = 37/84     | runtime:  0.03

   41   |   12    |     FC     |  = 31/72     | runtime:  0.04

   43   |   12    |     FC     |  = 43/96     | runtime:  0.04

   47   |   12    |     FC     |  = 37/84     | runtime:  0.06

   49   |   12    |     FC     |  = 49/108     | runtime:  0.05

   53   |   12    |     FC     |  = 43/96     | runtime:  0.11

   55   |   12    |     FC     |  = 11/24     | runtime:  0.02

   59   |   12    |     FC     |  = 49/108     | runtime:  0.20

   61   |   12    |     FC     |  = 61/132     | runtime:  0.17

   65   |   12    |     FC     |  = 11/24     | runtime:  0.04

   67   |   12    |     FC     |  = 67/144     | runtime:  0.34

   14   |   13    |    EBM         HBM         MID     |  = 9/26     | runtime:  0.01

   15   |   13    |    INT        HALF        EBM         MID     |  = 9/26     | runtime:  0.01

   16   |   13    |    INT         HBM         MID         GAP     |  = 14/39     | runtime:  0.03

   17   |   13    |     FC         INT         EBM         MID         GAP     |  = 9/26     | runtime:  0.03

   18   |   13    |     FC         EBM     |  = 1/3     | runtime:  0.01

   19   |   13    |     FC         EBM     |  = 1/3     | runtime:  0.01

   20   |   13    |     FC     |  = 5/13     | runtime:  0.01

   21   |   13    |     FC         INT         MID     |  = 21/52     | runtime:  0.03

   22   |   13    |    INT        HALF        MID     |  = 21/52     | runtime:  0.02

   23   |   13    |    MID     |  = 53/130     | runtime:  0.02

   24   |   13    |     FC     |  = 5/13     | runtime:  0.01

   25   |   13    |     FC     |  = 14/39     | runtime:  0.02

   27   |   13    |     FC     |  = 27/65     | runtime:  0.02

   28   |   13    |     FC         INT         MID     |  = 28/65     | runtime:  0.02

   29   |   13    |    INT        HALF        MID     |  = 45/104     | runtime:  0.02

   30   |   13    |     FC     |  = 11/26     | runtime:  0.02

   31   |   13    |     FC     |  = 21/52     | runtime:  0.02

   32   |   13    |     FC     |  = 5/13     | runtime:  0.02

   33   |   13    |     FC     |  = 11/26     | runtime:  0.02

   34   |   13    |     FC     |  = 17/39     | runtime:  0.01

   35   |   13    |    INT         MID     |  = 64/143     | runtime:  0.04

   36   |   13    |     FC         INT         MID     |  = 29/65     | runtime:  0.03

   37   |   13    |     FC     |  = 28/65     | runtime:  0.02

   38   |   13    |     FC     |  = 27/65     | runtime:  0.04

   40   |   13    |     FC     |  = 40/91     | runtime:  0.03

   41   |   13    |     FC     |  = 41/91     | runtime:  0.02

   42   |   13    |     FC         MID     |  = 6/13     | runtime:  0.02

   43   |   13    |     FC     |  = 35/78     | runtime:  0.02

   44   |   13    |     FC     |  = 17/39     | runtime:  0.03

   45   |   13    |     FC     |  = 11/26     | runtime:  0.02

   46   |   13    |     FC     |  = 23/52     | runtime:  0.03

   47   |   13    |     FC     |  = 47/104     | runtime:  0.04

   48   |   13    |     FC     |  = 6/13     | runtime:  0.01

   49   |   13    |     FC     |  = 6/13     | runtime:  0.02

   50   |   13    |     FC     |  = 41/91     | runtime:  0.05

   51   |   13    |     FC     |  = 40/91     | runtime:  0.10

   53   |   13    |     FC     |  = 53/117     | runtime:  0.08

   54   |   13    |     FC     |  = 6/13     | runtime:  0.02

   55   |   13    |    INT        HALF        MID     |  = 85/182     | runtime:  0.15

   56   |   13    |     FC     |  = 6/13     | runtime:  0.02

   57   |   13    |     FC     |  = 47/104     | runtime:  0.10

   58   |   13    |     FC     |  = 23/52     | runtime:  0.03

   59   |   13    |     FC     |  = 59/130     | runtime:  0.33

   60   |   13    |     FC     |  = 6/13     | runtime:  0.02

   61   |   13    |     FC     |  = 61/130     | runtime:  0.05

   62   |   13    |     FC     |  = 55/117     | runtime:  0.03

   63   |   13    |     FC     |  = 6/13     | runtime:  0.04

   64   |   13    |     FC     |  = 53/117     | runtime:  0.93

   66   |   13    |     FC     |  = 6/13     | runtime:  0.03

   67   |   13    |     FC     |  = 67/143     | runtime:  0.08

   68   |   13    |    INT        HALF        MID     |  = 37/78     | runtime:  0.02

   69   |   13    |     FC     |  = 61/130     | runtime:  0.08

   70   |   13    |     FC     |  = 6/13     | runtime:  0.03

   15   |   14    |     FC         INT         MID     |  = 5/14     | runtime:  0.01

   17   |   14    |    INT        HALF        EBM         MID     |  = 5/14     | runtime:  0.01

   19   |   14    |     FC         EBM     |  = 1/3     | runtime:  0.01

   23   |   14    |    MID     |  = 17/42     | runtime:  0.02

   25   |   14    |     FC         INT         MID     |  = 17/42     | runtime:  0.04

   27   |   14    |     FC     |  = 5/14     | runtime:  0.02

   29   |   14    |     FC     |  = 29/70     | runtime:  0.02

   31   |   14    |    INT        HALF        MID     |  = 3/7     | runtime:  0.01

   33   |   14    |     FC     |  = 23/56     | runtime:  0.02

   37   |   14    |     FC     |  = 37/84     | runtime:  0.02

   39   |   14    |     FC     |  = 31/70     | runtime:  0.02

   41   |   14    |     FC     |  = 29/70     | runtime:  0.04

   43   |   14    |     FC     |  = 43/98     | runtime:  0.04

